dataset,model,prediction_type,RMSE,MAE,R2
Dataset B,Model 3 - HistGradientBoosting,all_drugs,4.178420042951101,3.1202041204258015,0.8209312305012599
Dataset B,Model 2 - ElasticNet fixed effects,all_drugs,4.17932703795284,3.1836221058042957,0.8208871377216198
Dataset C,Model 3 - HistGradientBoosting,all_drugs,4.190356813391458,3.1172824833061683,0.8198173647435457
Dataset C,Model 2 - ElasticNet fixed effects,all_drugs,4.192008870767265,3.1996510164100775,0.8197969967146277
Dataset C,Model 4 - RandomForest,all_drugs,4.295131535982756,3.2459982329195993,0.8107262096807581
Dataset B,Model 4 - RandomForest,all_drugs,4.298905098870968,3.2474045353552716,0.8103756937187365
Dataset A,Model 4 - RandomForest,all_drugs,4.488456329632943,3.411888804990859,0.7931683615635376
Dataset A,Model 3 - HistGradientBoosting,all_drugs,4.516709934188065,3.437305847384038,0.790710890964702
Dataset A,Model 2 - ElasticNet fixed effects,all_drugs,4.803860567756205,3.7421595649034236,0.7633756353385169
Dataset B,Model 1 - Ridge fixed effects,all_drugs,4.855344229518764,3.775787079185939,0.7573004603096185
Dataset C,Model 1 - Ridge fixed effects,all_drugs,4.858751355957888,3.7802965656560135,0.7569587859133108
Dataset A,Model 1 - Ridge fixed effects,all_drugs,5.025620935963073,3.9302388847405347,0.7399305959468038
Dataset A,Model 0 - Mean baseline,all_drugs,9.90768530488833,7.33089714679936,-0.006207133227901984
Dataset B,Model 0 - Mean baseline,all_drugs,9.90768530488833,7.33089714679936,-0.006207133227901984
Dataset C,Model 0 - Mean baseline,all_drugs,9.90768530488833,7.33089714679936,-0.006207133227901984
Dataset C,Model 3 - HistGradientBoosting,all_opioids,1.907434333668443,1.398375227883321,0.8172081843917727
Dataset B,Model 3 - HistGradientBoosting,all_opioids,1.9089389065503197,1.406208999752615,0.8168322967988239
Dataset B,Model 2 - ElasticNet fixed effects,all_opioids,1.9403542479590612,1.452045395150796,0.8110292449224102
Dataset C,Model 2 - ElasticNet fixed effects,all_opioids,1.9448642819838189,1.4563571643475204,0.8101521648032779
Dataset B,Model 4 - RandomForest,all_opioids,1.9462023280163023,1.4399402586451604,0.8095934704217964
Dataset C,Model 4 - RandomForest,all_opioids,1.9475405444711125,1.4424750742490644,0.8093314270719837
Dataset A,Model 4 - RandomForest,all_opioids,2.0590314988240417,1.5421076651154504,0.7870526542116205
Dataset A,Model 3 - HistGradientBoosting,all_opioids,2.066527260121602,1.558823654312028,0.7856264512835416
Dataset A,Model 2 - ElasticNet fixed effects,all_opioids,2.19967001936687,1.690090895992224,0.7571133795249436
Dataset C,Model 1 - Ridge fixed effects,all_opioids,2.216841072528971,1.7046030709164217,0.7525182272165726
Dataset B,Model 1 - Ridge fixed effects,all_opioids,2.2217407858783234,1.7090200359236352,0.751415609998079
Dataset A,Model 1 - Ridge fixed effects,all_opioids,2.268961403848499,1.7523086682589881,0.7406984724796485
Dataset A,Model 0 - Mean baseline,all_opioids,4.472373437090153,3.2654878650772496,-0.004267501190838541
Dataset B,Model 0 - Mean baseline,all_opioids,4.472373437090153,3.2654878650772496,-0.004267501190838541
Dataset C,Model 0 - Mean baseline,all_opioids,4.472373437090153,3.2654878650772496,-0.004267501190838541
Dataset C,Model 3 - HistGradientBoosting,all_stimulants,0.9968096480838,0.7304867161290896,0.8236429004317237
Dataset B,Model 3 - HistGradientBoosting,all_stimulants,1.002589300956647,0.7344424345109388,0.8215574017692632
Dataset C,Model 4 - RandomForest,all_stimulants,1.040746544835589,0.7674343256748164,0.807778027642874
Dataset B,Model 2 - ElasticNet fixed effects,all_stimulants,1.0419355846448783,0.7804370068244816,0.8075032493972341
Dataset B,Model 4 - RandomForest,all_stimulants,1.0420256199392657,0.768242504101164,0.807336863603758
Dataset C,Model 2 - ElasticNet fixed effects,all_stimulants,1.0442927863757465,0.7831846498884675,0.8066209840159845
Dataset A,Model 3 - HistGradientBoosting,all_stimulants,1.064857473338947,0.7995661811354148,0.7985798242294206
Dataset A,Model 4 - RandomForest,all_stimulants,1.097272713566203,0.8184241493381738,0.7861041911790281
Dataset A,Model 2 - ElasticNet fixed effects,all_stimulants,1.1805874622209924,0.898073828053807,0.7528483601566494
Dataset C,Model 1 - Ridge fixed effects,all_stimulants,1.3248579529131932,1.0617963537766897,0.6866807420902492
Dataset B,Model 1 - Ridge fixed effects,all_stimulants,1.3317446708079972,1.0671311706416156,0.6833564915766533
Dataset A,Model 1 - Ridge fixed effects,all_stimulants,1.3486577879095378,1.080379629201556,0.6754001066133523
Dataset A,Model 0 - Mean baseline,all_stimulants,2.3862968876824224,1.7478521253130956,-0.009072859617187979
Dataset B,Model 0 - Mean baseline,all_stimulants,2.3862968876824224,1.7478521253130956,-0.009072859617187979
Dataset C,Model 0 - Mean baseline,all_stimulants,2.3862968876824224,1.7478521253130956,-0.009072859617187979
