dataset,model,RMSE_cov,RMSE_img,RMSE_impr_%,MAE_cov,MAE_img,MAE_impr_%,R2_cov,R2_img,R2_delta
Dataset A,Model 0 - Mean baseline,6.425888354308347,6.425888354308347,0.0,4.1147457123965685,4.1147457123965685,0.0,0.5686255412792223,0.5686255412792223,0.0
Dataset A,Model 1 - Ridge fixed effects,4.298216112665634,4.289907753305495,0.19329785060497556,3.0989472526864192,3.0912227596030393,0.24926184454039194,0.8069341176862561,0.8076905314346094,0.0007564137483533351
Dataset A,Model 2 - ElasticNet fixed effects,4.211192017076816,4.2078109330108875,0.08028805269904284,2.900789129422309,2.8984488251062195,0.08067819519702621,0.814801207286315,0.8151022385974611,0.00030103131114611603
Dataset A,Model 3 - HistGradientBoosting,2.9194039337936863,2.876515199457007,1.4690921609106264,1.9436182867234506,1.9125490682304807,1.5985247054526537,0.9109865753358137,0.9135629826655249,0.0025764073297112056
Dataset A,Model 4 - RandomForest,2.9223365948503144,2.7967710768996614,4.296750695040473,1.9241806523732408,1.8336550550138333,4.704630890439276,0.910748802172626,0.9182956083791296,0.007546806206503609
Dataset B,Model 0 - Mean baseline,6.425888354308347,6.425888354308347,0.0,4.1147457123965685,4.1147457123965685,0.0,0.5686255412792223,0.5686255412792223,0.0
Dataset B,Model 1 - Ridge fixed effects,4.301652925091032,4.295342002761884,0.14670924035589536,3.1016672497919138,3.0957502172203766,0.1907694183486046,0.806607556790118,0.8071850703230294,0.0005775135329114667
Dataset B,Model 2 - ElasticNet fixed effects,4.001148606890645,3.999604711159017,0.03858631316439948,2.704001435731569,2.705533378460512,-0.05665465663957354,0.832856635782492,0.8329857162882502,0.00012908050575821672
Dataset B,Model 3 - HistGradientBoosting,2.670024585181621,2.660588869471845,0.35339433809499377,1.7316478450086108,1.723324902509157,0.48063712973998873,0.9255972015049172,0.9261202808547158,0.0005230793497985609
Dataset B,Model 4 - RandomForest,2.7869719373495743,2.7057797681011877,2.9132754499710094,1.8171407404010615,1.7601018756728954,3.138934891503068,0.9189238359542605,0.9235781623614084,0.004654326407147913
Dataset C,Model 0 - Mean baseline,6.425888354308347,6.425888354308347,0.0,4.1147457123965685,4.1147457123965685,0.0,0.5686255412792223,0.5686255412792223,0.0
Dataset C,Model 1 - Ridge fixed effects,4.295922634627704,4.289680447220799,0.1453049306938083,3.09628505313541,3.0904397630650706,0.18878397725106189,0.80712361790951,0.8076940590908764,0.000570441181366399
Dataset C,Model 2 - ElasticNet fixed effects,4.001476645012063,3.998526593041747,0.07372408318297066,2.7048881519631274,2.7044492393283464,0.01622664635735379,0.8328284050814305,0.8330760265091616,0.00024762142773104845
Dataset C,Model 3 - HistGradientBoosting,2.6722160440413516,2.6667299879722357,0.20529987017138804,1.731588857358029,1.7247307690832643,0.3960575425062717,0.9254794734280708,0.9257817113426199,0.0003022379145490861
Dataset C,Model 4 - RandomForest,2.7856789938456674,2.703727570360969,2.94188324159933,1.8151420039880708,1.7576404194223731,3.1678835286363385,0.9190006561391563,0.9236950494262454,0.004694393287089094
