dataset,model,RMSE,MAE,R2
Dataset B,Model 3 - HistGradientBoosting,2.670024585181621,1.7316478450086108,0.9255972015049172
Dataset C,Model 3 - HistGradientBoosting,2.6722160440413516,1.731588857358029,0.9254794734280708
Dataset C,Model 4 - RandomForest,2.7856789938456674,1.8151420039880708,0.9190006561391563
Dataset B,Model 4 - RandomForest,2.7869719373495743,1.8171407404010615,0.9189238359542605
Dataset A,Model 3 - HistGradientBoosting,2.9194039337936863,1.9436182867234506,0.9109865753358137
Dataset A,Model 4 - RandomForest,2.9223365948503144,1.9241806523732408,0.910748802172626
Dataset B,Model 2 - ElasticNet fixed effects,4.001148606890645,2.704001435731569,0.832856635782492
Dataset C,Model 2 - ElasticNet fixed effects,4.001476645012063,2.7048881519631274,0.8328284050814305
Dataset A,Model 2 - ElasticNet fixed effects,4.211192017076816,2.900789129422309,0.814801207286315
Dataset C,Model 1 - Ridge fixed effects,4.295922634627704,3.09628505313541,0.80712361790951
Dataset A,Model 1 - Ridge fixed effects,4.298216112665634,3.0989472526864192,0.8069341176862561
Dataset B,Model 1 - Ridge fixed effects,4.301652925091032,3.1016672497919138,0.806607556790118
Dataset A,Model 0 - Mean baseline,6.425888354308347,4.1147457123965685,0.5686255412792223
Dataset B,Model 0 - Mean baseline,6.425888354308347,4.1147457123965685,0.5686255412792223
Dataset C,Model 0 - Mean baseline,6.425888354308347,4.1147457123965685,0.5686255412792223
